Country{string},Manufacturer{string},Model{string},Variant{string},Registry{string},ICAO24{string},Serial Number{string},Operator{string},Source{string},Source URL{string},Date Retrieved{string},Comments{string},Classification{string}
----,Ilyushin,Il-76,IL-76 MD,RF-76546,152b02,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76548,152b04,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76549,152b05,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76550,152b06,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76552,152b08,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76553,152b09,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76554,152b0a,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76558,152b0e,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76572,152b1c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76604,152b3c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76613,152b45,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76615,152b47,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76639,152b5f,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76643,152b63,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76650,152b6a,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76668,152b7c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76693,152b95,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76702,152b9e,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76714,152baa,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76720,152bb0,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76722,152bb2,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76726,152bb6,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76731,152bbb,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76733,152bbd,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76739,152bc3,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76740,152bc4,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76745,152bc9,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76747,152bcb,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76764,152bdc,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76765,152bdd,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76768,152be0,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76769,152be1,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76770,152be2,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76773,152be5,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76779,152beb,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76802,152c02,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76803,152c03,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76804,152c04,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76826,152c1a,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76827,152c1b,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76828,152c1c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
