Name{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},SHPLATRAD{decimal},SHPLONRAD{decimal},Point_Features{point}
Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Submarine volcano,-20.57,-175.38,149,-0.359014227135234,-3.06095844214765,POINT(-175.38 -20.57)
Hunter Island,SW Pacific,Stratovolcano,-22.4,172.05,297,-0.39095375244673,3.00283897805624,POINT(172.05 -22.4)
Hutapanjang,Sumatra,Stratovolcano,-2.33,101.6,2021,-0.040666171571468,1.77325452002624,POINT(101.6 -2.33)
Hydrographers Range,New Guinea,Stratovolcano,-9,148.37,1915,-0.15707963267949,2.58954501118399,POINT(148.37 -9)
Iamalele,D'Entrecasteaux Is,Lava domes,-9.52,150.53,200,-0.16615534478986,2.62724412302706,POINT(150.53 -9.52)
Ibu,Halmahera-Indonesia,Stratovolcano,1.49,127.63,1325,0.026005405854716,2.22756372432036,POINT(127.63 1.49)
Ibusuki Volc Field,Kyushu-Japan,Calderas,31.22,130.57,922,0.54489179247263,2.278876404329,POINT(130.57 31.22)
Ichinsky,Kamchatka,Stratovolcano,55.68,157.73,3621,0.971799327510443,2.75290782917066,POINT(157.73 55.68)
Iettunup,Kamchatka,Shield volcanoes,58.4,161.08,1340,1.01927228316469,2.81137635911247,POINT(161.08 58.4)
Ijen,Java,Stratovolcanoes,-8.06,114.24,2799,-0.140673537710743,1.99386413747832,POINT(114.24 -8.06)
Iktunup,Kamchatka,Shield volcanoes,58.08,160.77,2300,1.01368722955831,2.80596583843128,POINT(160.77 58.08)
Iliamna,Alaska-SW,Stratovolcano,60.03,-153.09,3053,1.0477211499722,-2.67192455187812,POINT(-153.09 60.03)
Iliboleng,Lesser Sunda Is,Stratovolcano,-8.34,123.26,1659,-0.145560459616327,2.15129283600821,POINT(123.26 -8.34)
Ililabalekan,Lesser Sunda Is,Stratovolcano,-8.55,123.38,1018,-0.149225651045515,2.1533872311106,POINT(123.38 -8.55)
Ilimuda,Lesser Sunda Is,Stratovolcano,-8.48,122.67,1100,-0.148003920569119,2.14099539342144,POINT(122.67 -8.48)
Iliwerung,Lesser Sunda Is,Complex volcano,-8.53,123.57,1018,-0.148876585195116,2.15670335668939,POINT(123.57 -8.53)
Illiniza,Ecuador,Stratovolcano,-0.66,-78.71,5248,-0.011519173063163,-1.37374865424474,POINT(-78.71 -0.66)
Ilopango,El Salvador,Caldera,13.67,-89.05,450,0.238586508747625,-1.55421569890095,POINT(-89.05 13.67)
Ilyinsky,Kamchatka,Stratovolcano,51.49,157.2,1578,0.89867003185188,2.74365758413509,POINT(157.2 51.49)
